@relation 'MLC'

@attribute F1_MEAN_on_ACC_X numeric
@attribute F2_MEAN_on_ACC_Y numeric
@attribute F3_MEAN_on_ACC_Z numeric
@attribute F4_MEAN_on_MAG_V numeric
@attribute F5_PeakToPeak_on_ACC_X numeric
@attribute F6_PeakToPeak_on_ACC_Y numeric
@attribute F7_PeakToPeak_on_ACC_Z numeric
@attribute F8_PeakToPeak_on_MAG_V numeric
@attribute F9_MIN_on_ACC_X numeric
@attribute F10_MIN_on_ACC_Y numeric
@attribute F11_MIN_on_ACC_Z numeric
@attribute F12_MIN_on_MAG_V numeric
@attribute F13_MAX_on_ACC_X numeric
@attribute F14_MAX_on_ACC_Y numeric
@attribute F15_MAX_on_ACC_Z numeric
@attribute F16_MAX_on_MAG_V numeric
@attribute class {down_horizontally, down_vertically, up_horizontally, up_vertically}

@data
-0.10022, -0.572266, 0.998047, 0, 0, 0, 0, 0, -0.0999756, -0.571777, 0.996582, 0, -0.0999756, -0.571777, 0.996582, 0, down_horizontally
-0.120911, -0.396484, 0.907227, 0, 0.0230103, 0.195801, 0.100586, 0, -0.122986, -0.571777, 0.895996, 0, -0.0999756, -0.375977, 0.996582, 0, down_horizontally
-0.123169, -0.376709, 0.896973, 0, 0, 0, 0, 0, -0.122986, -0.375977, 0.895996, 0, -0.122986, -0.375977, 0.895996, 0, down_horizontally
-0.123169, -0.376709, 0.896973, 0, 0, 0, 0, 0, -0.122986, -0.375977, 0.895996, 0, -0.122986, -0.375977, 0.895996, 0, down_horizontally
-0.12793, -0.219727, 1.03613, 0, 0.00689697, 0.223999, 0.197754, 0, -0.129883, -0.375977, 0.895996, 0, -0.122986, -0.151978, 1.09375, 0, down_horizontally
-0.130005, -0.152344, 1.09473, 0, 0, 0, 0, 0, -0.129883, -0.151978, 1.09375, 0, -0.129883, -0.151978, 1.09375, 0, down_horizontally
-0.130005, -0.152344, 1.09473, 0, 0, 0, 0, 0, -0.129883, -0.151978, 1.09375, 0, -0.129883, -0.151978, 1.09375, 0, down_horizontally
-0.123169, -0.0560608, 1.07031, 0, 0.013916, 0.192017, 0.0507813, 0, -0.129883, -0.151978, 1.04297, 0, -0.115967, 0.039978, 1.09375, 0, down_horizontally
-0.116211, 0.0400391, 1.04492, 0, 0, 0, 0, 0, -0.115967, 0.039978, 1.04297, 0, -0.115967, 0.039978, 1.04297, 0, down_horizontally
-0.116211, 0.0400391, 1.04492, 0, 0, 0, 0, 0, -0.115967, 0.039978, 1.04297, 0, -0.115967, 0.039978, 1.04297, 0, down_horizontally
