22.082, -21.228, 938.302, 967.828;
14.457, -26.108, 1005.524, 967.551;
16.775, 33.672, 1020.774, 967.565;
13.298, 15.799, 1015.955, 967.657;
12.749, 16.470, 1017.907, 967.657;
16.348, -2.928, 1010.221, 967.909;
14.945, 5.551, 1016.443, 967.436;
17.751, -7.381, 1010.587, 967.692;
15.982, -5.368, 1016.016, 967.851;
17.446, -22.570, 1004.182, 967.767;
3.965, 9.882, 1013.515, 967.965;
-14.762, 8.052, 1007.964, 967.965;
45.201, -0.427, 1025.776, 968.066;
14.579, 0.915, 1013.271, 967.546;
13.481, 8.540, 1015.162, 967.638;
13.786, 8.052, 1015.833, 967.494;
14.213, 6.954, 1013.698, 968.008;
13.115, 13.115, 1016.016, 968.008;
13.359, 12.017, 1015.101, 967.617;
20.984, -6.405, 1018.151, 967.616;
78.568, -8.174, 897.310, 967.621;
122.305, 24.278, 1019.371, 967.621;
117.608, -21.777, 930.982, 968.193;
195.444, -82.716, 902.190, 967.832;
210.938, -129.442, 868.518, 967.769;
240.889, -159.210, 931.653, 967.159;
243.573, -186.477, 914.634, 967.555;
315.736, -205.387, 929.762, 967.518;
366.915, -216.672, 910.181, 967.518;
388.387, -234.667, 899.933, 967.933;
374.479, -566.141, 648.857, 967.881;
318.542, -648.735, 565.165, 967.792;
355.630, -626.104, 703.635, 967.499;
374.540, -705.404, 569.313, 967.444;
388.448, -723.094, 602.009, 967.802;
362.218, -743.834, 553.087, 967.226;
376.736, -803.126, 456.646, 967.226;
296.338, -837.530, 464.393, 967.321;
359.473, -853.451, 362.523, 967.641;
334.280, -866.322, 301.889, 967.391;
436.577, -802.089, 297.314, 967.372;
451.644, -758.047, 289.384, 967.954;
387.228, -717.848, 435.967, 968.115;
449.509, -695.461, 462.685, 967.639;
449.692, -653.859, 521.733, 967.362;
316.224, -630.008, 649.955, 967.362;
327.082, -579.927, 728.767, 967.169;
333.365, -522.587, 826.245, 967.721;
273.219, -470.188, 899.323, 967.775;
316.163, -404.369, 948.184, 967.283;
54.656, -17.202, 1240.801, 966.899;
64.050, -57.401, 1051.457, 967.872;
-65.148, -66.002, 1002.840, 967.268;
-70.394, -38.003, 1092.876, 968.209;
-90.036, -41.724, 1050.725, 968.209;
-88.755, -39.162, 1006.622, 967.812;
-137.982, -33.794, 1036.329, 967.702;
-153.659, -27.816, 1053.409, 967.962;
-179.584, -31.537, 982.161, 967.769;
-193.492, -28.487, 999.241, 968.000;
-172.630, 45.262, 1001.620, 967.785;
-191.784, 52.338, 994.056, 967.263;
-234.423, 79.239, 1020.042, 967.836;
-193.797, 100.467, 1009.672, 967.836;
-188.124, 122.610, 1012.539, 968.130;
-176.778, 143.960, 1004.121, 967.091;
-190.442, 161.955, 1027.911, 967.786;
-210.511, 172.935, 1026.691, 967.539;
-197.884, 164.700, 1031.571, 968.130;
-208.742, 150.304, 973.072, 968.130;
-349.286, -738.588, 391.559, 967.440;
-467.870, -817.278, 305.122, 967.605;
-420.046, -888.587, 238.632, 967.172;
-335.256, -921.893, 188.246, 967.394;
-349.530, -938.790, 219.051, 967.588;
-319.579, -946.720, 183.000, 967.661;
-301.279, -955.565, 122.732, 967.613;
-257.054, -950.685, 83.814, 967.613;
-219.478, -962.824, 51.606, 967.538;
-176.778, -971.974, -31.415, 967.565;
-129.320, -968.985, -17.629, 967.411;
-152.805, -988.627, 60.451, 967.271;
-180.743, -1016.382, -15.616, 967.271;
-149.145, -1011.380, 19.398, 967.836;
-123.098, -1006.073, -1.037, 967.573;
-105.835, -993.812, -40.382, 967.483;
-124.562, -1001.803, -94.794, 967.373;
-82.899, -987.163, -87.779, 967.571;
-87.657, -990.030, -88.755, 967.443;
-132.126, -1002.474, -111.081, 967.443;
-86.559, -977.037, -174.216, 967.474;
-138.958, -977.708, -140.117, 967.616;
-100.711, -978.501, -159.576, 967.935;
-72.651, -966.545, -204.106, 967.935;
-91.195, -956.968, -232.166, 968.223;
-80.886, -952.149, -293.227, 967.574;
-67.771, -938.973, -302.682, 967.886;
-115.656, -951.478, -280.600, 968.063;
-138.836, -956.846, -274.378, 967.780;
-134.871, -949.892, -353.495, 967.523;
-174.338, -924.638, -382.958, 966.879;
-149.694, -887.184, -418.155, 967.843;
-172.569, -882.731, -476.898, 967.666;
-124.318, -889.502, -439.627, 967.920;
-171.898, -911.279, -493.185, 967.508;
-167.079, -926.468, -623.786, 967.508;
-103.761, -928.298, -524.966, 967.698;
-144.875, -957.395, -359.717, 967.992;
-86.803, -962.397, -225.578, 967.552;
-27.389, -931.531, -220.637, 967.428;
673.074, 987.651, 40.626, 967.516;
515.389, 892.125, -25.681, 967.238;
349.347, 905.362, 144.265, 967.655;
383.507, 894.321, 19.154, 967.440;
420.046, 933.788, -32.330, 967.440;
404.491, 971.669, 8.601, 967.490;
313.418, 958.981, 27.938, 967.445;
310.002, 962.214, 38.064, 967.728;
281.271, 937.875, 36.356, 967.928;
253.089, 943.060, 43.493, 967.492;
245.586, 972.157, -20.679, 967.906;
178.120, 1001.254, 70.638, 967.516;
262.361, 1041.453, 56.303, 967.651;
248.575, 1007.903, 76.738, 967.651;
245.037, 1022.299, 126.453, 967.091;
205.387, 1009.306, 133.956, 967.548;
200.263, 980.941, 115.168, 967.395;
233.142, 929.762, 81.618, 967.679;
255.163, 874.740, 87.352, 967.637;
321.287, 909.632, 135.786, 967.927;
315.492, 956.785, 87.779, 967.383;
384.056, 992.775, 200.385, 967.475;
329.217, 975.451, 187.026, 967.760;
388.387, 936.472, 109.800, 967.573;
375.394, 917.013, 178.120, 967.573;
400.282, 894.138, 156.465, 967.096;
410.347, 886.818, 146.827, 967.218;
407.419, 865.346, 91.622, 968.148;
446.703, 882.975, 105.774, 967.866;
504.592, 914.634, 120.231, 967.741;
771.345, 381.982, 511.607, 967.884;
783.789, 342.759, 525.149, 967.232;
724.863, 324.276, 652.761, 967.820;
746.884, 302.133, 715.347, 967.523;
763.171, 263.520, 718.275, 967.851;
669.048, 198.921, 829.417, 967.851;
582.550, 127.612, 854.244, 967.053;
536.495, 42.151, 886.208, 967.762;
449.814, -46.421, 895.419, 967.515;
375.516, -123.586, 942.877, 967.984;
68.076, -684.908, 721.081, 967.577;
106.811, -742.065, 623.969, 968.065;
152.317, -760.609, 594.018, 967.464;
177.144, -843.874, 432.734, 967.464;
127.429, -927.749, 310.063, 967.598;
100.223, -975.756, 201.971, 967.572;
36.112, -974.048, 211.548, 967.397;
55.510, -966.118, 190.320, 967.967;
60.512, -1000.827, 133.346, 967.458;
26.047, -1015.223, 171.715, 967.458;
45.323, -988.566, -104.432, 967.493;
-23.241, -976.488, -41.541, 968.209;
31.842, -981.978, -94.184, 968.209;
29.646, -953.796, -195.566, 967.053;
71.492, -902.434, -326.716, 967.684;
92.354, -871.812, -407.236, 967.308;
77.287, -866.017, -467.138, 967.069;
49.837, -832.284, -446.581, 967.439;
80.947, -784.216, -614.392, 967.439;
